\d    a digit: [0-9]
\D    a non-digit: [^0-9]
\s    a whitespace character: [ \t\n\0B\f\r]
\S    a non-whitespace character: [^\s]
\w    a word character: [a-zA-Z_0-9]
\W    a non-word character: [^\w]
\t    the tab character ('\u0009')
\n    the newline (line feed) character ('\u000A')
\r    the carriage-return character ('\u000D')
\f    the form-feed character ('\u000C')
\a    the alert (bell) character ('\u0007')
\e    the escape character ('\u001B')
\b    a word boundary
\B    a non-word boundary
\A    the beginning of the input
\G    the end of the previous match
\Z    the end of the input but for the final terminator,if any
\z    the end of the input
\p{Lower}    a lower-case alphabetic character: [a-z]
\p{Upper}    an upper-case alphabetic character:[A-Z]
\p{ASCII}    all ASCII:[\x00-\x7F]
\p{Alpha}    an alphabetic character:[\p{Lower}\p{Upper}]
\p{Digit}    a decimal digit: [0-9]
\p{Alnum}    an alphanumeric character:[\p{Alpha}\p{Digit}]
\p{Punct}    punctuation: One of !"#$%&'()*+,-./:;<=>?@[\]^_`{|}~
\p{Graph}    a visible character: [\p{Alnum}\p{Punct}]
\p{Print}    a printable character: [\p{Graph}\x20]
\p{Blank}    a space or a tab: [ \t]
\p{Cntrl}    a control character: [\x00-\x1F\x7F]
\p{XDigit}    a hexadecimal digit: [0-9a-fA-F]
\p{Space}    a whitespace character: [ \t\n\x0B\f\r]
\p{javaLowerCase}    equivalent to java.lang.Character.isLowerCase()
\p{javaUpperCase}    equivalent to java.lang.Character.isUpperCase()
\p{javaWhitespace}    equivalent to java.lang.Character.isWhitespace()
\p{javaMirrored}    equivalent to java.lang.Character.isMirrored()
\p{IsLatin}    a Latin script character (script)
\p{InGreek}    a character in the Greek block (block)
\p{Lu}    an uppercase letter (category)
\p{IsAlphabetic}    an alphabetic character (binary property)
\p{Sc}    a currency symbol
\P{InGreek}    any character except one in the Greek block (negation)
\p{L}     any letter except an uppercase letter
\p{N}     any numeric character
\h    a horizontal whitespace
\H    a non horizontal whitespace
\v    a vertical whitespace
\V    a non vertical whitespace
\R    any Unicode line break sequence \u000D\u000A|[\u000A\u000B\u000C\u000D\u0085\u2028\u2029]
(?i)    case insensitive mode
(?x)    comments, permits whitespace and comments in the pattern
(?m)    multiline
(?s)    dotall, dot matches all characters
(?u)    Unicode case, enables Unicode-aware case folding
(?d)    UNIX lines
